일시,평균습도(%rh),최저습도(%rh)
2016-07-11,89,61
2016-07-12,86.3,59
2016-07-13,97,84
2016-07-14,90.5,74
2016-07-15,78.5,62
2016-07-16,98,98
2016-07-17,98,98
2016-07-18,97.1,81
2016-07-19,90,69
2016-07-20,89.6,63
2016-07-21,86.5,68
2016-07-22,89.3,71
2016-07-23,95,85
2016-07-24,98,98
2016-07-25,98,94
2016-07-26,98,93
2016-07-27,98,98
2016-07-28,97.4,90
2016-07-29,98,85
2016-07-30,94.3,64
2016-07-31,97,83
2016-08-01,98,90
2016-08-02,97.9,87
2016-08-03,89,70
2016-08-04,93.1,72
2016-08-05,93.3,76
2016-08-06,89.9,72
2016-08-07,83.6,54
2016-08-08,92.3,71
2016-08-09,89,72
2016-08-10,89.9,68
2016-08-11,90.4,64
2016-08-12,92.1,70
2016-08-13,96.4,85
2016-08-14,98,91
2016-08-15,89.1,64
2016-08-16,91.9,74
2016-08-17,89.3,67
2016-08-18,85.3,53
2016-08-19,88.8,73
2016-08-20,86.3,58
2016-08-21,76.4,37
2016-08-22,87.5,65
2016-08-23,85.8,72
2016-08-24,82.6,57
2016-08-25,90,63
2016-08-26,67.8,41
2016-08-27,51.5,40
2016-08-28,69.5,51
2016-08-29,65.5,48
2016-08-30,75.1,58
2016-08-31,96.6,87
2016-09-01,91.8,71
2016-09-02,84.3,61
2016-09-03,90.9,67
2016-09-04,94.4,79
2016-09-05,90.9,67
2016-09-06,94.9,74
2016-09-07,91.5,74
2016-09-08,94.6,67
2016-09-09,90.8,68
2016-09-10,94.3,70
2016-09-11,90.8,69
2016-09-12,92.3,62
2016-09-13,87,66
2016-09-14,86.1,56
2016-09-15,92.5,76
2016-09-16,89.1,48
2016-09-17,79,53
2016-09-18,73,56
2016-09-19,69.3,47
2016-09-20,54.5,36
2016-09-21,58,39
2016-09-22,68,47
2016-09-23,81.5,54
2016-09-24,82.8,54
2016-09-25,83,55
2016-09-26,81.3,54
2016-09-27,95.4,81
2016-09-28,98,95
2016-09-29,85.1,67
2016-09-30,88.4,78
2016-10-01,93.5,77
2016-10-02,97.6,95
2016-10-03,89.1,55
2016-10-04,75.3,45
2016-10-05,82,62
2016-10-06,72.4,56
2016-10-07,85,61
2016-10-08,79.6,53
2016-10-09,57.4,43
2016-10-10,55.1,39
2016-10-11,79,44
2016-10-12,67.3,40
2016-10-13,58.4,33
2016-10-14,83,64
2016-10-15,78.5,45
2016-10-16,86.9,70
2016-10-17,94.4,73
2016-10-18,79.4,65
2016-10-19,87.6,69
2016-10-20,78.8,51
2016-10-21,73,60
2016-10-22,81.5,65
2016-10-23,82,67
2016-10-24,71.6,51
2016-10-25,91.4,77
2016-10-26,87.3,38
2016-10-27,63.3,48
2016-10-28,62.5,44
2016-10-29,40.6,29
2016-10-30,31,13
2016-10-31,61.8,40
2016-11-01,48.1,33
2016-11-02,57.9,28
2016-11-03,66.6,36
2016-11-04,74.1,63
2016-11-05,85.5,75
2016-11-06,65.6,45
2016-11-07,75,55
2016-11-08,57.3,40
2016-11-09,43.8,27
2016-11-10,61.8,38
2016-11-11,61.4,35
2016-11-12,66.4,48
2016-11-13,75,62
2016-11-14,81.1,58
2016-11-15,46.8,32
2016-11-16,50.4,27
2016-11-17,63,48
2016-11-18,60.5,43
2016-11-19,79,61
2016-11-20,51.3,18
2016-11-21,47.1,37
2016-11-22,49,29
2016-11-23,44.9,22
2016-11-24,41.4,30
2016-11-25,44.8,33
2016-11-26,76.4,46
2016-11-27,84.4,70
2016-11-28,55.8,38
2016-11-29,42.5,31
2016-11-30,64.6,44
2016-12-01,48.6,27
2016-12-02,54.8,40
2016-12-03,71.3,55
2016-12-04,68.4,53
2016-12-05,73.8,49
2016-12-06,40.6,20
2016-12-07,63.4,42
2016-12-08,69.1,50
2016-12-09,65.3,38
2016-12-10,51.5,36
2016-12-11,42.8,29
2016-12-12,43.6,29
2016-12-13,60.3,51
2016-12-14,57.8,49
2016-12-15,44.4,32
2016-12-16,48.4,30
2016-12-17,68.6,54
2016-12-18,68.5,62
2016-12-19,73.9,62
2016-12-20,77.8,67
2016-12-21,78.9,51
2016-12-22,91.3,73
2016-12-23,73.1,61
2016-12-24,68,60
2016-12-25,74.1,55
2016-12-26,73.1,55
2016-12-27,54,27
2016-12-28,53.5,40
2016-12-29,56.9,34
2016-12-30,58.3,36
2016-12-31,75,63
2017-01-01,78.6,68
2017-01-02,82.9,66
2017-01-03,68.8,49
2017-01-04,63.6,39
2017-01-05,53.5,48
2017-01-06,62.6,48
2017-01-07,74,58
2017-01-08,70.3,57
2017-01-09,66.3,44
2017-01-10,49.6,33
2017-01-11,42.6,25
2017-01-12,51,28
2017-01-13,52.6,29
2017-01-14,37.4,26
2017-01-15,41.1,31
2017-01-16,44.6,30
2017-01-17,57.8,33
2017-01-18,70,61
2017-01-19,66.4,31
2017-01-20,71.1,53
2017-01-21,71.5,54
2017-01-22,55.3,45
2017-01-23,53.5,45
2017-01-24,53.1,37
2017-01-25,55.9,37
2017-01-26,72.4,54
2017-01-27,47.3,34
2017-01-28,44.4,26
2017-01-29,77.1,40
2017-01-30,60,44
2017-01-31,45.5,27
2017-02-01,50.3,32
2017-02-02,56.4,29
2017-02-03,69.1,55
2017-02-04,76.5,61
2017-02-05,80.6,58
2017-02-06,53.6,45
2017-02-07,46.9,37
2017-02-08,52.3,35
2017-02-09,52.4,40
2017-02-10,48,38
2017-02-11,49.9,41
2017-02-12,55.5,37
2017-02-13,61.6,28
2017-02-14,53,24
2017-02-15,68,43
2017-02-16,68.6,44
